City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Muros,42.78,-9.06,61.0,92,100,8.01,ES,1603157272
Machhlīshahr,25.68,82.42,75.2,94,75,3.33,IN,1603157272
Maple Creek,49.92,-109.48,28.9,95,100,11.99,CA,1603157272
Sitka,57.05,-135.33,44.6,81,75,9.17,US,1603157272
Salalah,17.02,54.09,80.6,51,75,3.36,OM,1603157272
Pyinmana,19.73,96.22,74.19,85,55,1.1,MM,1603157272
Padang,-0.95,100.35,83.5,61,36,3.09,ID,1603157186
New Norfolk,-42.78,147.06,66.0,64,56,1.01,AU,1603157273
Mataura,-46.19,168.86,53.01,71,83,13.0,NZ,1603157273
Shetpe,44.17,52.12,56.73,92,89,13.33,KZ,1603157273
Grimshaw,56.18,-117.6,23.0,79,90,9.17,CA,1603157273
Chui,-33.7,-53.46,65.64,78,0,3.78,UY,1603157273
Albany,42.6,-73.97,55.0,89,100,5.41,US,1603157102
Tiksi,71.69,128.87,14.25,92,100,23.82,RU,1603157273
Kiryat Gat,31.61,34.76,71.6,78,31,2.24,IL,1603157273
Waipawa,-41.41,175.52,62.6,67,94,23.04,NZ,1603157203
East London,-33.02,27.91,64.15,80,82,20.85,ZA,1603157274
Teahupoo,-17.83,-149.27,84.2,70,20,17.22,PF,1603156986
Bubaque,11.28,-15.83,82.49,88,1,8.63,GW,1603157274
Caravelas,-17.71,-39.25,72.9,83,100,4.07,BR,1603157274
Vanimo,-2.67,141.3,84.38,69,100,2.75,PG,1603157274
Winona,43.97,-91.77,33.8,80,90,3.27,US,1603157109
Qaanaaq,77.48,-69.36,27.5,88,7,5.97,GL,1603157274
Hualmay,-11.1,-77.61,62.11,85,3,6.51,PE,1603157274
Sistranda,63.73,8.83,35.6,93,40,6.93,NO,1603157274
Ixtapa,20.7,-105.2,84.99,83,40,6.93,MX,1603157275
Opuwo,-18.06,13.84,62.1,34,0,3.58,NA,1603157275
Kayerkan,69.35,87.76,12.2,92,75,6.71,RU,1603157275
Fort-Shevchenko,44.51,50.26,61.25,83,70,10.78,KZ,1603157275
Saldanha,-33.01,17.94,53.6,76,100,2.24,ZA,1603157275
Umm Kaddadah,13.6,26.69,83.26,15,82,10.96,SD,1603157275
Lebu,-37.62,-73.65,49.93,75,4,14.88,CL,1603157275
Cairns,-16.92,145.77,87.01,54,11,8.05,AU,1603157040
Carnarvon,-24.87,113.63,71.6,64,40,16.11,AU,1603157276
Ahipara,-35.17,173.17,65.43,65,100,11.3,NZ,1603157276
Bambous Virieux,-20.34,57.76,73.4,78,20,8.05,MU,1603157276
Esperance,-33.87,121.9,60.8,100,90,8.05,AU,1603157276
Fortuna,40.6,-124.16,57.0,100,90,10.29,US,1603157276
Bundaberg,-24.85,152.35,80.6,51,40,14.99,AU,1603157276
Lagoa,39.05,-27.98,63.72,69,0,28.45,PT,1603157276
Ambilobe,-13.2,49.05,72.18,70,8,2.24,MG,1603157276
Touros,-5.2,-35.46,77.0,83,40,3.36,BR,1603157276
Kampot,10.62,104.18,80.6,83,20,2.24,KH,1603157277
Norman Wells,65.28,-126.83,15.8,78,20,9.17,CA,1603157277
Uni,57.75,51.49,37.13,90,98,9.91,RU,1603157277
Departamento de Maldonado,-34.67,-54.92,60.8,82,90,23.04,UY,1603157126
Tuatapere,-46.13,167.68,53.01,71,85,13.0,NZ,1603157277
Leeton,-34.57,146.4,72.0,37,0,5.82,AU,1603157277
Vanavara,60.34,102.28,24.17,96,100,14.18,RU,1603157277
Malakal,9.53,31.66,72.7,75,0,1.01,SS,1603157277
Coahuayana Viejo,18.73,-103.68,80.58,84,23,1.41,MX,1603157277
Lahat,-3.8,103.53,73.45,93,100,1.5,ID,1603157277
Apatou,5.16,-54.35,76.12,91,60,4.65,GF,1603157278
Östersund,63.18,14.64,30.2,86,82,3.36,SE,1603157278
Le Port,-20.94,55.29,71.6,60,1,8.05,RE,1603157278
Sohag,26.56,31.69,75.2,36,0,3.36,EG,1603157278
Fort Nelson,58.81,-122.7,24.8,62,20,2.28,CA,1603157278
Kapaa,22.08,-159.32,84.2,70,40,12.75,US,1603157278
General José Eduvigis Díaz,-27.17,-58.42,89.6,40,0,9.17,PY,1603157278
Sept-Îles,50.2,-66.38,41.0,100,90,3.36,CA,1603157278
Lázaro Cárdenas,17.96,-102.2,81.41,85,52,4.56,MX,1603157278
Bichura,50.59,107.6,27.32,88,100,11.97,RU,1603157278
Makkah al Mukarramah,21.43,39.83,76.95,18,0,6.04,SA,1603157042
Sinnamary,5.38,-52.95,80.91,82,68,11.77,GF,1603157279
Kavieng,-2.57,150.8,83.86,70,100,2.98,PG,1603157279
Nicoya,10.15,-85.45,77.0,88,75,2.24,CR,1603157279
Kyrenia,35.34,33.32,68.0,77,20,4.7,CY,1603157279
Upington,-28.45,21.26,62.6,23,0,11.41,ZA,1603157279
Ponta do Sol,32.67,-17.1,68.0,94,75,12.75,PT,1603157279
Turka,49.15,23.03,39.0,89,63,8.99,UA,1603157279
Natal,-5.79,-35.21,77.0,83,40,3.36,BR,1603157279
Kopervik,59.28,5.31,50.0,93,90,14.99,NO,1603157279
Yar-Sale,66.83,70.83,16.99,96,0,3.85,RU,1603157280
Faanui,-16.48,-151.75,78.98,80,19,19.62,PF,1603157280
Lüderitz,-26.65,15.16,57.56,72,0,22.44,NA,1603157280
Vera Cruz,-12.63,-41.03,71.24,84,86,6.89,BR,1603157280
Mahébourg,-20.41,57.7,73.4,78,20,8.05,MU,1603157280
Charcas,23.13,-101.12,65.98,45,0,9.48,MX,1603157280
Airai,-8.93,125.41,78.78,34,1,3.31,TL,1603157280
Richards Bay,-28.78,32.04,69.24,93,23,2.77,ZA,1603157280
Moose Factory,51.26,-80.61,30.2,86,1,6.93,CA,1603157280
Cabo San Lucas,22.89,-109.91,86.0,58,5,6.93,MX,1603157280
Yulara,-25.24,130.99,77.0,57,0,9.17,AU,1603157281
Laas,46.62,10.7,46.99,52,100,1.1,IT,1603157281
Kargopol',61.51,38.95,29.14,99,83,4.09,RU,1603157281
Bodden Town,19.28,-81.25,82.99,78,20,5.82,KY,1603157281
Dakoro,14.51,6.76,84.87,24,0,3.22,NE,1603157281
Severo-Kuril'sk,50.68,156.12,42.21,64,67,10.83,RU,1603157281
Phan Thiet,10.93,108.1,79.61,81,96,3.42,VN,1603157282
Port-Gentil,-0.72,8.78,78.69,85,100,12.5,GA,1603157282
Ulaangom,49.98,92.07,26.06,81,59,1.34,MN,1603157282
Cam Ranh,11.92,109.16,86.0,84,40,2.24,VN,1603157282
Te Anau,-45.42,167.72,54.93,49,7,4.43,NZ,1603157282
Souillac,-20.52,57.52,73.4,78,20,8.05,MU,1603157282
Mongo,12.18,18.69,79.9,36,0,5.86,TD,1603157282
Bethel,41.37,-73.41,55.4,93,1,8.05,US,1603157282
Hofn,64.25,-15.21,38.32,74,0,12.88,IS,1603157283
Petropavlovsk-Kamchatskiy,53.05,158.65,44.6,48,75,8.95,RU,1603157283
Jamestown,42.1,-79.24,53.01,100,90,6.93,US,1603157283
Berlevåg,70.86,29.09,38.91,76,100,16.24,NO,1603157283
Payakumbuh,-0.22,100.63,78.03,66,6,0.85,ID,1603157283
Auki,-8.77,160.7,84.43,75,77,3.69,SB,1603157283
Taltal,-25.4,-70.48,58.84,71,0,2.39,CL,1603157283
Mirante do Paranapanema,-22.29,-51.91,72.9,82,72,8.03,BR,1603157283
Nantucket,41.28,-70.1,53.6,93,90,3.36,US,1603157283
Tabou,4.42,-7.35,77.52,80,100,6.04,CI,1603157284
Linguère,15.4,-15.12,90.18,18,0,12.84,SN,1603157284
Djambala,-2.54,14.75,67.06,99,88,3.44,CG,1603157284
Kununurra,-15.77,128.73,93.2,46,2,8.05,AU,1603157284
Sertânia,-8.07,-37.26,69.69,85,47,9.53,BR,1603157284
Choszczno,53.17,15.42,44.01,100,100,5.82,PL,1603157284
Dunedin,-45.87,170.5,55.99,59,93,21.0,NZ,1603157284
San Andrés,12.58,-81.7,82.4,83,75,3.36,CO,1603157285
Beyneu,45.32,55.2,53.56,34,0,12.01,KZ,1603157285
Praia,14.92,-23.51,80.6,65,67,4.7,CV,1603157285
Waitara,-38.92,174.25,55.0,84,100,11.01,NZ,1603157285
Leningradskiy,69.38,178.42,27.23,91,56,6.76,RU,1603157285
Hambantota,6.12,81.12,75.2,100,40,3.36,LK,1603157285
Cape Town,-33.93,18.42,59.0,93,75,6.93,ZA,1603157285
Port Elizabeth,-33.92,25.57,59.0,82,75,21.92,ZA,1603157285
Codrington,-38.27,141.97,57.6,72,70,2.59,AU,1603157286
Garmsār,35.22,52.34,54.63,38,0,1.79,IR,1603157286
Namatanai,-3.67,152.43,84.76,70,92,1.34,PG,1603157286
Nikolskoye,59.7,30.79,35.6,80,90,8.95,RU,1603157286
Spring Valley,36.11,-115.25,88.0,12,20,3.36,US,1603157286
Mayumba,-3.43,10.66,77.11,87,100,6.17,GA,1603157286
Alexandria,31.22,29.96,77.0,53,0,6.93,EG,1603157286
Camacha,33.08,-16.33,68.0,94,75,10.29,PT,1603157286
Río Gallegos,-51.62,-69.22,41.0,52,74,29.97,AR,1603157286
Upernavik,72.79,-56.15,32.81,93,100,8.03,GL,1603157286
Hazorasp,41.32,61.07,42.8,48,0,4.7,UZ,1603157287
Vega de Alatorre,20.03,-96.63,78.12,79,16,0.81,MX,1603157287
Tuktoyaktuk,69.45,-133.04,23.0,85,90,13.87,CA,1603157287
Bergama,39.12,27.18,64.4,72,20,10.29,TR,1603157287
Mujiayingzi,42.12,118.78,54.79,38,100,8.97,CN,1603157287
Port Hardy,50.7,-127.42,53.6,71,75,5.82,CA,1603157287
Coquimbo,-29.95,-71.34,55.4,82,0,4.7,CL,1603157205
Pangnirtung,66.15,-65.71,22.48,92,84,3.94,CA,1603157288
The Valley,18.22,-63.06,82.4,69,20,8.05,AI,1603157288
Port-Cartier,50.03,-66.87,41.0,100,90,3.36,CA,1603157217
Turukhansk,65.82,87.98,10.72,96,97,3.67,RU,1603157288
Udachny,66.42,112.4,17.6,92,90,1.79,RU,1603157288
Tuy Hoa,13.08,109.3,79.38,86,100,4.52,VN,1603157288
Tottori-shi,35.5,134.23,66.2,63,20,4.7,JP,1603157288
Castro,-24.79,-50.01,61.52,97,6,6.35,BR,1603157288
São Mateus,-18.72,-39.86,72.41,85,97,5.53,BR,1603157213
Nuuk,64.18,-51.72,48.2,39,100,40.26,GL,1603157288
Tual,-5.67,132.75,78.98,84,100,4.52,ID,1603157289
Mastic Beach,40.77,-72.85,57.99,87,1,6.87,US,1603157289
Kars,40.6,43.09,35.6,64,0,4.7,TR,1603157289
Alice Springs,-23.7,133.88,78.8,47,40,8.05,AU,1603157046
San Rafael,-34.62,-68.33,64.45,26,0,12.66,AR,1603157289
Mossamedes,-15.2,12.15,66.81,84,4,3.87,AO,1603157289
Behshahr,36.69,53.55,66.92,26,0,3.0,IR,1603157289
Kargasok,59.06,80.86,35.85,95,100,8.84,RU,1603157289
Nhulunbuy,-12.23,136.77,87.8,52,20,13.87,AU,1603157289
Pimenta Bueno,-11.67,-61.19,74.84,82,100,1.9,BR,1603157289
Saint-Joseph,-21.37,55.62,69.8,60,17,4.7,RE,1603157290
Port Alfred,-33.59,26.89,62.06,80,0,21.59,ZA,1603157290
Nara,34.69,135.8,70.0,77,40,3.36,JP,1603157290
Bengkulu,-3.8,102.27,78.58,79,100,4.83,ID,1603157290
Palmerston,-12.49,130.98,89.6,55,40,5.82,AU,1603157290
Necochea,-38.55,-58.74,50.0,68,0,5.99,AR,1603157290
Versailles,48.8,2.13,50.0,76,100,9.17,FR,1603157290
Chengzihe,45.33,131.07,50.7,48,0,3.4,CN,1603157290
Ende,-8.84,121.66,86.11,59,43,2.73,ID,1603157291
Ishigaki,24.34,124.16,84.2,79,75,23.04,JP,1603157291
Bandarbeyla,9.49,50.81,77.11,70,38,5.57,SO,1603157291
Medicine Hat,50.05,-110.67,30.99,68,75,4.7,CA,1603157291
Karratha,-20.74,116.85,79.5,41,0,5.55,AU,1603157117
Longyearbyen,78.22,15.64,28.4,63,75,13.87,SJ,1603157291
Bo Rai,12.57,102.54,77.29,88,53,4.92,TH,1603157291
Port Hedland,-20.32,118.57,82.4,65,0,11.41,AU,1603157291
Ribeira Grande,38.52,-28.7,64.15,69,28,26.57,PT,1603157291
Carman,49.5,-98.0,28.0,68,20,2.71,CA,1603157291
Krasnosel'kup,65.7,82.47,19.96,97,100,8.99,RU,1603157292
Barsovo,61.17,73.17,32.0,98,75,6.71,RU,1603157292
Līsakovsk,52.54,62.49,47.77,50,29,9.82,KZ,1603157292
Changji,44.02,87.32,46.4,39,0,6.71,CN,1603157292
Atar,20.52,-13.05,84.9,25,0,7.31,MR,1603157292
Terme,41.21,36.97,59.0,87,75,6.93,TR,1603157292
Port Augusta,-32.5,137.77,73.99,53,95,5.82,AU,1603157293
Saint-Pierre,-21.34,55.48,69.8,60,0,4.7,RE,1603157293
Sabha,27.04,14.43,67.66,65,0,20.56,LY,1603157293
Post Falls,47.72,-116.95,57.0,54,90,16.11,US,1603157293
Butaritari,3.07,172.79,82.51,77,100,10.69,KI,1603157293
Vardø,70.37,31.11,40.48,71,100,16.96,NO,1603157293
Zhoukou,33.63,114.63,62.1,49,97,4.41,CN,1603157293
Victor Harbor,-35.57,138.62,62.01,73,100,6.55,AU,1603157294
Jinxiang,27.43,120.61,67.01,69,85,12.71,CN,1603157294
Quang Ngai,15.12,108.8,77.34,91,100,2.06,VN,1603157294
Woodward,36.43,-99.39,50.0,61,1,6.93,US,1603157294
Şabrātah,32.79,12.49,68.27,55,0,4.23,LY,1603157294
Fernie,49.5,-115.07,41.0,80,75,2.24,CA,1603157157
Barra do Corda,-5.5,-45.25,81.41,54,1,4.18,BR,1603157294
Sarangani,5.4,125.46,82.22,77,73,9.37,PH,1603157295
Kaitangata,-46.28,169.85,54.45,51,87,10.54,NZ,1603157295
Yerbogachën,61.28,108.01,24.64,94,100,11.9,RU,1603157295
Saskylakh,71.92,114.08,22.46,97,86,4.79,RU,1603157295
Santa Barbara,34.73,-120.03,75.2,47,1,8.05,US,1603157023
Broken Hill,-31.95,141.43,69.8,28,80,9.17,AU,1603157295
Forsytheganj,52.63,29.73,37.18,90,29,9.44,BY,1603157295
Acapulco de Juárez,16.86,-99.89,84.2,83,75,3.36,MX,1603157106
Isangel,-19.55,169.27,82.4,61,75,11.41,VU,1603157295
Harrisonburg,38.45,-78.87,60.8,87,1,6.93,US,1603157296
St. George's,12.06,-61.75,82.4,83,20,5.82,GD,1603157296
Vejprty,50.49,13.03,35.01,88,100,5.01,CZ,1603157296
Rotava,50.3,12.57,35.01,85,100,1.01,CZ,1603157296
Dikson,73.51,80.55,23.97,95,96,17.27,RU,1603157296
Hithadhoo,-0.6,73.08,82.65,78,71,13.0,MV,1603157296
Amatán,17.35,-92.75,71.44,91,98,0.6,MX,1603157296
Poya,-21.35,165.15,81.64,48,0,5.03,NC,1603157296
Batemans Bay,-35.72,150.18,64.99,74,71,3.0,AU,1603157296
Mackay,-21.15,149.2,86.0,51,75,12.75,AU,1603157297
Yangi Marg`ilon,40.43,71.72,48.2,57,0,6.93,UZ,1603157297
Anadyr,64.75,177.48,37.4,69,65,11.18,RU,1603157297
Tromsø,69.65,18.96,23.0,92,0,5.82,NO,1603157180
San Patricio,28.02,-97.52,80.6,83,20,12.75,US,1603157297
Sibolga,1.74,98.78,80.96,70,47,1.97,ID,1603157287
Sola,-13.88,167.55,86.0,70,90,4.7,VU,1603157297
Ilulissat,69.22,-51.1,37.4,89,100,4.7,GL,1603157297
Sørland,67.67,12.69,39.43,67,95,3.31,NO,1603157297
Zherdevka,51.85,41.46,38.26,81,5,9.13,RU,1603157297
Wanaka,-44.7,169.15,57.04,45,24,5.91,NZ,1603157297
Seoul,37.57,126.98,60.8,67,1,1.63,KR,1603157298
Nome,64.5,-165.41,39.0,93,90,4.7,US,1603157298
Westport,41.14,-73.36,60.8,72,1,6.93,US,1603157298
San Luis,-33.3,-66.34,58.84,45,0,24.56,AR,1603157298
Esso,55.93,158.7,33.28,86,100,1.36,RU,1603157298
Plérin,48.54,-2.78,55.99,13,100,1.99,FR,1603157298
Tongchuanshi,35.08,109.09,57.88,43,100,2.08,CN,1603157298
Belaya Gora,68.53,146.42,13.8,94,74,3.6,RU,1603157298
Anloga,5.79,0.9,78.8,88,20,4.7,GH,1603157299
Santa Vitória do Palmar,-33.52,-53.37,66.79,77,0,4.43,BR,1603157299
Cherskiy,68.75,161.3,21.63,94,56,3.94,RU,1603157299
Aklavik,68.22,-135.01,23.0,92,90,4.7,CA,1603157299
Mtwango,-9.02,34.8,57.76,87,26,9.89,TZ,1603157299
Koungou,-12.73,45.2,73.4,88,17,1.12,YT,1603157299
Posse,-14.09,-46.37,71.1,77,100,4.29,BR,1603157299
Bariloche,-41.15,-71.31,37.4,69,20,5.82,AR,1603157299
Swan River,52.11,-101.27,24.69,82,0,4.83,CA,1603157299
Ponta Delgada,37.73,-25.67,60.8,72,20,9.17,PT,1603157299
Bonavista,48.65,-53.11,48.99,86,100,4.0,CA,1603157300
Olafsvik,64.89,-23.71,38.73,74,92,6.51,IS,1603157300
Port Lincoln,-34.73,135.87,60.53,73,100,11.61,AU,1603157300
Dudinka,69.41,86.18,12.2,92,75,6.71,RU,1603157300
Inhambane,-23.86,35.38,69.4,84,0,12.3,MZ,1603157300
Katsuura,35.13,140.3,64.99,59,88,11.41,JP,1603157300
Atasū,48.68,71.64,38.19,56,0,4.29,KZ,1603157300
Mana,5.66,-53.78,80.17,84,0,10.04,GF,1603157300
Rāwah,34.48,41.91,66.72,29,0,4.47,IQ,1603157301
Olden,61.84,6.81,24.01,95,100,7.87,NO,1603157301
Aldama,22.92,-98.07,80.01,90,2,3.8,MX,1603157301
Verkhniachka,48.83,30.04,40.17,89,0,7.25,UA,1603157301
Ekhabi,53.51,142.97,34.83,79,60,19.84,RU,1603157301
Hūn,29.13,15.95,62.08,70,0,6.31,LY,1603157301
San Vicente,-26.62,-54.13,70.23,63,0,2.15,AR,1603157301
Eresós,39.17,25.93,64.4,77,20,6.93,GR,1603157301
Hilo,19.73,-155.09,86.0,55,1,13.87,US,1603157301
Ariquemes,-9.91,-63.04,76.35,70,100,1.23,BR,1603157301
Kieta,-6.22,155.63,85.68,68,5,4.97,PG,1603157302
Guerrero Negro,27.98,-114.06,75.76,62,0,16.22,MX,1603157302
Araguaçu,-12.93,-49.83,72.36,84,100,5.01,BR,1603157302
Pangody,65.85,74.49,24.66,98,83,4.74,RU,1603157302
Tigil',57.8,158.67,39.22,74,100,11.32,RU,1603157302
Fare,-16.7,-151.02,79.9,77,18,17.81,PF,1603157302
Hay River,60.82,-115.8,19.4,73,20,3.24,CA,1603157302
Ayr,55.46,-4.63,50.0,93,75,14.99,GB,1603157302
College,64.86,-147.8,21.99,85,90,1.28,US,1603157302
Sassandra,4.95,-6.08,75.74,88,45,5.93,CI,1603157302
Balfron,56.07,-4.34,52.0,93,100,8.05,GB,1603157302
Kigoma,-4.88,29.63,76.33,63,93,4.99,TZ,1603157303
Kirakira,-10.45,161.92,84.42,74,18,10.0,SB,1603157303
Kampong Thom,12.71,104.89,76.71,92,100,2.64,KH,1603157145
Vila Velha,-20.33,-40.29,69.8,94,75,4.7,BR,1603157303
Buin,-33.73,-70.75,64.99,42,75,12.75,CL,1603157154
Bintulu,3.17,113.03,82.4,83,20,5.82,MY,1603157303
Noumea,-22.28,166.46,87.8,45,89,11.41,NC,1603157089
Tolaga Bay,-38.37,178.3,67.08,61,100,12.86,NZ,1603157146
Nioro,13.35,-15.75,78.03,68,0,2.3,GM,1603157303
Marawi,8.0,124.29,82.99,78,100,1.01,PH,1603157303
Jamkhandi,16.52,75.3,70.5,94,95,6.96,IN,1603157304
Linqiong,30.42,103.46,60.01,93,75,11.18,CN,1603157304
General Roca,-39.03,-67.58,60.8,30,0,5.82,AR,1603157304
Smidovich,48.6,133.82,40.21,65,50,7.25,RU,1603157304
Néa Iraklítsa,40.86,24.32,57.99,76,20,5.82,GR,1603157304
Bokaa,-24.45,26.02,82.4,23,0,11.41,BW,1603157304
Plastun,44.76,136.29,53.98,44,0,4.09,RU,1603157304
San Quintín,30.48,-115.95,71.11,73,0,17.31,MX,1603157304
Mnogovershinnyy,53.94,139.92,30.87,85,14,18.81,RU,1603157304
Ambon City,-3.7,128.18,89.6,66,40,4.7,ID,1603157304
Calvinia,-31.47,19.78,46.29,78,65,8.1,ZA,1603157304
Besao,17.09,120.86,68.23,91,100,3.09,PH,1603157305
Qasigiannguit,68.82,-51.19,37.4,80,100,4.7,GL,1603157305
Rio de Janeiro,-22.9,-43.21,75.2,73,100,4.7,BR,1603157113
Nyurba,63.28,118.33,22.62,96,98,8.86,RU,1603157305
Keti Bandar,24.14,67.45,83.39,71,0,8.86,PK,1603157305
Lavrentiya,65.58,-171.0,35.96,75,4,5.5,RU,1603157305
Puerto Madryn,-42.77,-65.04,52.27,45,0,12.15,AR,1603157305
Taoudenni,22.68,-3.98,81.16,20,0,15.5,ML,1603157303
Tadine,-21.55,167.88,74.68,73,97,15.99,NC,1603157305
Santa Rosa de Aguán,15.95,-85.72,81.23,76,95,7.65,HN,1603157305
Yacuiba,-22.04,-63.68,81.21,34,0,3.02,BO,1603157306
Pevek,69.7,170.31,26.24,93,1,14.99,RU,1603157264
Geraldton,-28.77,114.6,69.8,64,90,11.41,AU,1603157306
Torbay,47.67,-52.73,48.99,87,40,9.17,CA,1603157306
Butajīra,8.12,38.37,55.38,51,0,5.08,ET,1603157306
Melfi,41.0,15.65,50.0,61,63,3.36,IT,1603157306
Waingapu,-9.66,120.26,85.41,61,0,8.21,ID,1603157229
Chapais,49.78,-74.85,28.4,100,1,3.6,CA,1603157306
Zhangye,38.93,100.45,48.87,42,0,3.56,CN,1603157306
Cañete,-37.8,-73.4,46.63,77,0,5.7,CL,1603157306
Novaya Bryan’,51.72,108.27,32.0,87,75,20.13,RU,1603157306
Tautira,-17.73,-149.15,84.2,70,20,17.22,PF,1603157307
Dingle,11.0,122.67,77.97,89,100,5.08,PH,1603157307
Turan,16.07,108.22,75.2,94,90,4.7,VN,1603157307
Grand Gaube,-20.01,57.66,73.0,77,0,3.0,MU,1603157307
Vao,-22.67,167.48,73.15,77,12,19.71,NC,1603157307
Belmonte,-15.86,-38.88,73.4,83,75,3.36,BR,1603157307
Luleå,65.58,22.15,24.8,92,97,8.05,SE,1603157307
Zhigansk,66.77,123.37,18.1,96,100,12.21,RU,1603157307
Tasiilaq,65.61,-37.64,30.2,92,60,9.17,GL,1603157307
Diffa,13.32,12.61,84.81,14,0,7.63,NE,1603157308
Santa Cruz del Sur,20.71,-78.0,78.06,85,100,11.32,CU,1603157308
Mogadishu,2.04,45.34,78.46,85,16,10.13,SO,1603157308
Nordenham,53.5,8.48,44.6,93,100,4.7,DE,1603157308
Lima,-12.04,-77.03,62.6,82,1,9.17,PE,1603157157
Blackwater,-23.58,148.88,86.09,36,29,9.73,AU,1603157308
Biak,-0.91,122.88,81.63,68,100,8.16,ID,1603157308
Gizo Government Station,-8.1,156.84,84.51,69,41,2.95,SB,1603157144
Pizarro,4.95,-77.37,74.7,90,100,3.0,CO,1603157309
